"car_initial","car_number","axle_side","eqp_axle_nbr","Start_year","Start_month","start_date","end_year","End_month","End_date","Train_type","origin_station","destination_station","Train_Priority","kipread_day","kipread_month","kipread_year","kipread_hour","kipread_minute","kipread_secs","VNDR_EDR_NME","EDR_VNDR","AGE","EQP_SEQ_NBR","WHL_AVG_KIPS","WHL_PEAK_KIPS","WHL_DYN_KIPS","WHL_DYN_RATIO","EDR_EQP_SPD","EQP_GRS_TONS","TARE","car_type","car_characteristic","EQP_GRP","GRS_RAIL_WGT","KIPDAYS","RPR_WHY_CD","weight"
"GDSA",722,"L",1,2012,7,6,2014,4,9,"E","DOP","QDP","B",30,1,2013,21,1,14,"JOPP","PRT",208,84,32.09,36.75,4.66,1.15,39.38,24.8,21,"J",311,"GOND",286000,34.34,11,129.0
"EQVI",903800,"L",4,2009,9,29,2013,12,1,"E","EHQ","DEP","A",25,1,2013,7,42,0,"BMRK","SALIENT",1214,100,40.91,46.49,5.58,1.14,33.65,25.0,21,"J",311,"GOND",286000,0.0,11,136.8
"WONA",45591,"L",1,2011,12,30,2013,11,15,"E","POW","DWP","A",29,1,2013,0,11,0,"ROGN","SALIENT",395,28,36.38,42.14,5.76,1.16,52.0,21.5,21,"J",311,"GOND",286000,0.0,11,123.6
"UZVA",56939,"R",3,2010,6,19,2013,6,19,"E","PKV","HEP","A",26,1,2013,1,18,19,"AMAZ","PRT",952,114,36.53,38.01,1.48,1.04,47.92,24.1,24,"K",346,"HOPP",286000,0.0,11,113.9
"URQA",73356,"R",4,2011,5,9,2014,5,9,"E","NFO","DWP","A",28,1,2013,0,28,21,"AMAZ","PRT",630,3,27.6,52.23,24.63,1.89,50.09,20.0,21,"J",311,"GOND",286000,1281.78,11,103.0
"NSOA",7441,"R",1,2010,10,16,2013,10,16,"E","OUW","ZWP","A",27,1,2013,16,19,15,"AMAZ","PRT",834,92,30.5,38.18,7.68,1.25,54.18,29.6,24,"K",341,"HOPP",286000,105.58,61,96.8
"EQVI",986408,"L",2,2011,1,18,2014,1,18,"E","KGZ","JMF","A",13,9,2012,1,15,0,"KIRK","SALIENT",604,43,34.09,44.0,9.91,1.29,39.71,24.4,24,"K",341,"HOPP",286000,0.0,60,120.1
"QFXA",45651,"L",4,2010,6,11,2013,1,9,"E","KGZ","JMF","A",13,9,2012,1,15,0,"KIRK","SALIENT",825,10,38.77,55.1,16.33,1.42,39.74,25.9,25,"K",341,"HOPP",286000,1559.77,11,120.6
"GHHA",8893,"R",4,2008,12,22,2013,10,17,"E","VXG","EWP","A",13,9,2012,4,3,1,"JOPP","PRT",1361,24,38.21,43.68,5.47,1.14,31.67,23.2,22,"J",301,"GOND",286000,1336.03,65,102.4
"EQVI",560033,"L",7,2011,7,9,2012,10,10,"B","ZHO","VFR","A",15,9,2012,1,28,0,"BAGD","SALIENT",433,16,20.08,22.89,2.81,1.14,35.8,90.1,88,"S",162,"IFLT",801100,0.0,73,166.8
"EQVI",714404,"R",4,2009,4,15,2013,3,4,"X","FVA","SKS","A",13,9,2012,8,36,1,"AMAZ","PRT",1247,93,40.45,51.59,11.14,1.28,56.01,36.1,31,"C",114,"HOPP",286000,2451.85,75,95.6
"FHIA",78532,"L",3,2010,10,19,2012,10,16,"E","VXG","VAP","A",18,9,2012,3,2,13,"JOPP","PRT",700,86,44.58,64.1,19.52,1.44,23.1,22.2,20,"J",311,"GOND",286000,2668.25,61,147.0
"WAXA",223237,"L",2,2010,6,19,2013,6,19,"E","POP","HEP","A",14,9,2012,5,45,22,"AMAZ","PRT",818,38,37.66,43.65,5.99,1.16,57.81,26.1,24,"K",346,"HOPP",286000,0.0,11,118.6
"FHIA",76077,"R",1,2009,5,25,2013,12,20,"E","KRK","QDP","A",14,9,2012,8,30,0,"ROGN","SALIENT",1208,28,36.86,43.71,6.85,1.19,48.37,22.3,21,"J",311,"GOND",286000,14632.62,75,124.6
"EQVI",991435,"R",3,2011,7,8,2013,4,12,"E","UEH","VFP","A",14,9,2012,23,51,30,"VELO","PRT",434,59,45.57,79.09,33.52,1.74,24.02,21.9,21,"J",311,"GOND",286000,2429.0,75,129.4
"WONA",45509,"L",1,2011,11,29,2014,12,16,"E","POW","QDP","A",17,9,2012,20,7,0,"ROGN","SALIENT",293,78,32.47,35.75,3.28,1.1,54.78,21.1,21,"J",311,"GOND",286000,0.0,65,123.2
"DRN",98083,"R",4,2011,7,25,2014,7,25,"X","VWR","QBI","A",17,9,2012,6,43,0,"KIRK","SALIENT",420,101,34.45,38.11,3.66,1.11,53.07,31.9,31,"C",114,"HOPP",286000,0.0,11,115.4
"ZIDA",98371,"L",1,2011,2,18,2014,2,18,"E","KRK","QDP","A",4,2,2013,7,3,0,"ROGN","SALIENT",717,107,40.71,44.17,3.46,1.08,48.09,24.5,24,"K",341,"HOPP",286000,0.0,11,119.3
"MKPA",22658,"L",1,2011,10,21,2014,10,21,"E","SDP","DWP","A",5,2,2013,12,50,14,"AMAZ","PRT",473,56,36.68,65.28,28.6,1.78,26.91,19.0,23,"K",346,"HOPP",286000,1022.96,75,117.5
"EQ",867277,"L",3,2012,6,15,2014,2,13,"E","VSV","EWP","A",8,2,2013,16,3,0,"ROGN","SALIENT",238,49,37.17,39.75,2.58,1.07,44.93,22.0,22,"J",311,"GOND",286000,6602.46,65,120.9
"OFUA",88583,"R",2,2010,2,25,2013,2,25,"E","KDI","ZWP","B",5,2,2013,4,55,0,"ROGN","SALIENT",1076,45,44.71,48.92,4.21,1.09,46.08,21.3,20,"J",311,"GOND",286000,0.0,64,124.8
"AFOA",23369,"R",2,2010,5,6,2013,5,6,"E","PLF","DWP","A",6,2,2013,11,50,0,"ROGN","SALIENT",1007,113,35.42,41.59,6.17,1.17,54.71,26.4,25,"K",341,"HOPP",286000,0.0,11,119.3
"EQ",866749,"L",1,2011,8,23,2013,10,25,"E","FUG","ZWP","A",3,2,2013,10,4,0,"ROGN","SALIENT",530,110,36.38,39.89,3.51,1.1,50.61,22.3,21,"J",311,"GOND",286000,0.0,11,123.7
"EQVI",991785,"L",4,2008,3,20,2013,2,22,"E","EHQ","ZWP","A",4,2,2013,21,53,0,"BMRK","SALIENT",1782,50,29.93,37.84,7.91,1.26,21.06,33.3,21,"J",311,"GOND",286000,886.3,11,136.8
"EQVI",588723,"R",5,2011,12,3,2014,12,3,"Q","FKL","KRX","A",11,2,2013,4,16,35,"CHRS","PRT",436,34,30.48,33.56,3.08,1.1,43.61,104.6,63,"S",635,"IFLT",486500,0.0,11,125.2
"EQVI",706407,"L",4,2010,6,4,2014,9,19,"X","LQE","FBV","H",12,2,2013,6,50,40,"MALT","PRT",984,102,39.68,41.26,1.58,1.04,48.86,32.5,30,"C",114,"HOPP",286000,0.0,11,110.6
"EQVI",719359,"L",2,2011,9,10,2014,9,10,"X","MRH","ZDY","A",18,2,2013,11,27,0,"DEAN","SALIENT",527,28,35.34,45.23,9.89,1.28,55.12,31.6,31,"C",114,"HOPP",286000,0.0,64,111.4
"EQVI",905800,"L",2,2012,8,23,2013,5,15,"E","EHQ","DEP","A",13,2,2013,12,17,0,"BMRK","SALIENT",174,42,37.78,45.43,7.65,1.2,32.05,24.3,20,"J",311,"GOND",286000,0.0,11,144.3
"EQ",867423,"L",4,2011,2,16,2013,8,27,"E","LRJ","FNP","A",12,2,2013,14,37,0,"ROGN","SALIENT",727,33,35.74,40.39,4.65,1.13,37.17,22.0,21,"J",311,"GOND",286000,0.0,11,123.4
"GDSA",791,"L",1,2013,1,6,2014,9,4,"E","DOP","QDP","B",15,2,2013,7,39,40,"JOPP","PRT",40,76,38.34,45.67,7.33,1.19,39.3,26.4,21,"J",311,"GOND",286000,552.92,11,116.9
"NFOA",27481,"R",3,2010,10,31,2014,12,15,"E","NFK","ZWP","A",11,2,2013,19,28,6,"AMAZ","PRT",834,7,31.8,34.14,2.34,1.07,55.09,21.7,21,"J",311,"GOND",286000,0.0,11,103.6
"EQVI",531367,"R",1,2010,7,10,2013,7,10,"Z","VVH","FKF","A",14,2,2013,14,45,0,"PEST","SALIENT",950,35,16.39,38.6,22.21,2.36,32.51,65.6,24,"S",615,"IFLT",220000,3918.73,64,56.9
"DPWA",43560,"R",4,2010,1,30,2014,12,2,"E","DPK","EWP","A",17,2,2013,17,41,0,"ROGN","SALIENT",1114,113,31.41,34.74,3.33,1.11,27.26,25.5,24,"K",341,"HOPP",286000,0.0,11,118.0
"AFOA",23431,"L",4,2010,6,3,2013,6,3,"E","PLF","DWP","A",16,2,2013,21,36,0,"ROGN","SALIENT",989,111,38.42,40.89,2.47,1.06,49.59,26.2,25,"K",341,"HOPP",286000,0.0,11,118.4
"EVSA",4975,"R",1,2012,8,12,2014,12,8,"E","EVE","DEP","A",12,2,2013,17,3,1,"JOPP","PRT",184,62,33.96,37.2,3.24,1.1,38.62,27.5,21,"J",311,"GOND",286000,0.0,11,117.9
"IXUA",294513,"R",2,2010,5,18,2013,7,22,"E","VSW","QDP","A",14,2,2013,12,47,0,"ROGN","SALIENT",1003,112,38.39,52.35,13.96,1.36,38.63,24.2,23,"J",301,"GOND",286000,0.0,65,121.8
"NFOA",739322,"L",3,2010,8,26,2013,8,26,"E","NFO","DWP","A",25,2,2013,4,59,41,"AMAZ","PRT",914,76,36.01,42.46,6.45,1.18,47.46,20.1,20,"J",311,"GOND",286000,0.0,11,116.2
"NFOA",28483,"L",3,2010,5,29,2013,5,29,"E","NFO","DWP","A",25,2,2013,4,59,41,"AMAZ","PRT",1003,81,35.51,40.95,5.44,1.15,49.1,20.9,21,"J",311,"GOND",286000,0.0,11,114.4
"EQVI",564347,"R",7,2010,4,18,2013,4,18,"U","URR","LQE","A",20,2,2013,6,16,58,"KYRO","PRT",1039,22,24.1,26.67,2.57,1.11,43.51,117.5,82,"S",333,"IFLT",660000,0.0,11,213.0
"EQVI",905445,"R",1,2012,4,12,2014,8,6,"E","UEH","VAP","A",23,2,2013,1,45,34,"VELO","PRT",316,68,34.12,39.64,5.52,1.16,33.7,23.5,20,"J",311,"GOND",286000,0.0,60,126.5
"EQ",21330,"R",3,2009,5,18,2014,8,6,"U","PDG","DOO","T",20,2,2013,21,10,0,"COCH","SALIENT",1374,90,32.94,38.71,5.77,1.18,53.41,29.0,28,"K",384,"HOPP",263000,0.0,11,104.2
"EQVI",992659,"L",3,2012,1,3,2014,7,14,"E","FUG","HWP","A",20,2,2013,20,5,0,"ROGN","SALIENT",414,75,39.09,44.34,5.25,1.13,39.51,21.9,21,"J",311,"GOND",286000,0.0,11,122.3
"EQVI",712425,"L",4,2010,5,3,2013,5,3,"X","NDO","VBQ","A",20,2,2013,20,5,52,"MALT","PRT",1024,51,28.11,33.63,5.52,1.2,52.47,32.1,31,"C",114,"HOPP",286000,0.0,11,106.7
"EQVI",904316,"L",1,2011,9,21,2013,11,10,"E","FRE","EWP","A",26,2,2013,10,50,0,"BMRK","SALIENT",524,15,34.55,43.72,9.17,1.27,23.31,22.6,21,"J",311,"GOND",286000,0.0,11,130.6
"JDWA",535775,"L",4,2011,6,10,2014,6,10,"H","NFN","WXO","A",24,2,2013,2,41,12,"CHEL","PRT",625,83,40.52,67.21,26.69,1.66,34.77,34.1,32,"T",105,"TANK",263000,6092.05,11,98.8
"IXUA",294141,"L",2,2011,4,22,2013,3,12,"E","EHQ","DEP","A",23,2,2013,3,26,0,"BMRK","SALIENT",673,16,41.92,56.65,14.73,1.35,25.34,36.4,23,"J",301,"GOND",286000,563.0,11,133.5
"EQ",868277,"R",2,2010,4,6,2013,12,17,"E","EHQ","DEP","A",23,2,2013,3,26,0,"BMRK","SALIENT",1054,57,39.0,42.35,3.35,1.09,29.77,26.7,21,"J",311,"GOND",286000,15.66,11,125.9
"EQ",866853,"R",2,2011,9,19,2013,5,29,"E","FRE","QDP","A",21,2,2013,8,24,0,"BMRK","SALIENT",521,68,38.87,42.91,4.04,1.1,31.0,24.0,22,"J",311,"GOND",286000,470.98,11,133.1
"PENA",78323,"L",1,2010,7,8,2013,7,8,"E","NFK","HWP","A",24,2,2013,21,46,33,"AMAZ","PRT",962,38,33.28,63.19,29.91,1.9,49.35,22.4,20,"J",311,"GOND",286000,866.21,61,117.1
"DWZ",642539,"L",2,2011,1,28,2014,1,28,"X","WDF","KZP","H",27,2,2013,5,23,17,"MALT","PRT",761,82,39.29,47.53,8.24,1.21,48.86,32.5,30,"C",114,"HOPP",286000,9985.33,11,116.7
"NFOA",828439,"L",3,2011,9,22,2014,9,22,"E","VDL","HWP","A",22,2,2013,18,21,36,"AMAZ","PRT",519,86,33.36,34.81,1.45,1.04,48.15,22.3,22,"J",311,"GOND",286000,0.0,64,115.0
"GHHA",93695,"R",1,2011,12,20,2013,10,2,"E","VXG","GNP","A",22,2,2013,20,37,56,"JOPP","PRT",430,28,49.53,52.33,2.8,1.06,42.22,34.2,20,"J",311,"GOND",286000,0.0,11,146.9
"IXUA",294149,"R",3,2009,1,30,2014,1,10,"E","WKK","QDP","A",23,2,2013,14,2,15,"AMAZ","PRT",1485,40,37.39,40.62,3.23,1.09,47.12,27.9,23,"J",301,"GOND",286000,0.0,11,122.1
"EQVI",714172,"R",3,2010,4,26,2014,7,10,"X","WDF","HUV","H",23,2,2013,8,48,5,"MALT","PRT",1034,107,34.46,39.66,5.2,1.15,50.34,33.7,30,"C",114,"HOPP",286000,0.0,11,104.6
"EQVI",991854,"L",1,2011,9,14,2013,9,6,"E","UEH","VAP","A",22,2,2013,12,57,0,"PEST","SALIENT",527,22,51.59,63.78,12.19,1.24,35.73,22.4,21,"J",311,"GOND",286000,4553.18,11,134.0
"EQVI",903504,"R",2,2008,3,2,2014,8,26,"E","FUG","VFP","A",23,2,2013,3,16,0,"ROGN","SALIENT",1819,122,35.42,38.32,2.9,1.08,53.38,21.6,20,"J",311,"GOND",286000,0.0,60,121.1
"DWZ",642718,"R",4,2011,4,16,2014,4,16,"X","FVA","KPP","A",24,2,2013,21,14,0,"COCH","SALIENT",680,16,39.36,41.25,1.89,1.05,56.6,31.4,31,"C",114,"HOPP",286000,5592.4,11,111.6
"EQ",869531,"L",3,2012,3,27,2012,12,24,"E","UEH","VAP","A",20,7,2012,3,45,0,"PEST","SALIENT",115,19,25.86,27.41,1.55,1.06,35.03,22.1,21,"J",311,"GOND",286000,0.0,11,94.2
"SQMA",83267,"R",1,2010,3,24,2013,3,24,"E","VOS","UZP","A",21,7,2012,22,51,0,"ROGN","SALIENT",850,67,35.82,41.77,5.95,1.17,37.53,20.4,20,"J",311,"GOND",286000,0.0,11,124.0
"EQVI",708200,"R",1,2009,12,4,2012,12,4,"X","VZD","OLQ","A",22,7,2012,12,49,41,"GAGE","PRT",961,82,42.2,74.79,32.59,1.77,52.61,33.5,30,"C",114,"HOPP",286000,1083.62,65,111.3
"EQVI",247580,"L",2,2010,4,6,2013,4,6,"U","RGQ","FDN","B",19,7,2012,4,20,16,"CHEL","PRT",835,37,37.64,39.8,2.16,1.06,47.12,35.2,29,"H",330,"HOPP",263000,0.0,70,99.4
"FEWA",68438,"R",1,2011,5,19,2014,5,19,"U","PLM","PQX","T",19,7,2012,20,32,0,"COCH","SALIENT",427,37,35.05,52.88,17.83,1.51,55.08,35.9,32,"T",108,"TANK",263000,0.0,65,96.1
"GHWA",213323,"R",3,2009,12,6,2012,12,6,"E","VXG","VFP","A",24,7,2012,9,21,0,"BMRK","SALIENT",961,71,43.02,47.47,4.45,1.1,25.14,22.5,21,"J",311,"GOND",286000,0.0,11,135.7
"FHIA",71869,"R",3,2011,1,27,2014,5,29,"E","RNR","HEP","A",23,7,2012,4,18,0,"ROGN","SALIENT",543,59,32.95,38.38,5.43,1.16,37.4,21.0,20,"J",311,"GOND",286000,0.0,11,123.9
"PENA",633203,"R",2,2010,11,25,2013,11,25,"E","VXG","VFP","A",21,7,2012,16,57,51,"JOPP","PRT",604,4,34.51,47.05,12.54,1.36,38.02,25.3,20,"J",311,"GOND",286000,0.0,60,135.0
"LEW",42209,"L",4,2011,3,12,2014,3,12,"H","QWZ","VSR","A",2,3,2013,8,45,55,"JOPP","PRT",721,25,25.81,49.71,23.9,1.93,39.69,50.7,38,"A",603,"BOXC",286000,2675.69,61,75.4
"EQVI",708204,"R",4,2011,5,14,2014,5,14,"X","KHU","ZDY","A",3,3,2013,20,50,27,"PRAI","PRT",659,59,25.14,35.36,10.22,1.41,38.1,30.7,30,"C",114,"HOPP",286000,0.0,11,94.2
"EQVI",710836,"L",4,2010,12,29,2014,6,27,"X","FSL","XOH","A",3,3,2013,23,20,0,"COCH","SALIENT",795,78,29.2,31.04,1.84,1.06,55.31,32.6,31,"C",114,"HOPP",286000,0.0,11,114.5
"EQ",866942,"R",4,2012,11,15,2013,12,14,"E","EHQ","DEP","A",6,3,2013,10,32,0,"BMRK","SALIENT",111,5,36.99,45.5,8.51,1.23,23.73,22.4,21,"J",311,"GOND",286000,989.28,11,123.2
"EQVI",986536,"L",3,2010,4,15,2013,4,15,"E","FHF","UZP","A",7,3,2013,1,10,13,"VELO","PRT",1056,82,34.46,36.42,1.96,1.06,33.26,24.1,24,"K",341,"HOPP",286000,0.0,11,116.5
"EQVI",587861,"L",1,2011,11,12,2014,11,12,"Z","VVH","FKF","A",20,3,2013,15,18,49,"MALT","PRT",494,15,13.78,20.39,6.61,1.48,48.27,110.8,63,"S",635,"IFLT",486450,0.0,63,82.2
"EQVI",991060,"L",1,2010,4,19,2014,8,20,"E","UEH","VAP","A",11,3,2013,23,38,42,"VELO","PRT",1057,18,36.35,38.82,2.47,1.07,35.26,22.4,21,"J",311,"GOND",286000,669.22,11,125.9
"URQA",73338,"R",2,2011,7,27,2014,7,27,"E","VDL","HWP","A",12,3,2013,20,7,16,"AMAZ","PRT",594,60,34.12,36.21,2.09,1.06,49.35,21.8,20,"J",311,"GOND",286000,0.0,60,94.8
"EQVI",719681,"R",2,2011,8,8,2014,8,8,"X","EQW","ZLF","A",17,3,2013,19,54,12,"CHRS","PRT",587,55,40.4,42.38,1.98,1.05,35.96,33.2,31,"C",114,"HOPP",286000,0.0,11,114.2
"EQVI",700774,"R",2,2011,3,23,2014,3,23,"X","WDF","RWY","H",13,3,2013,19,26,7,"MALT","PRT",721,92,40.13,42.35,2.22,1.06,50.09,32.4,30,"C",114,"HOPP",286000,0.0,65,111.5
"IHF",3818,"R",1,2011,1,15,2014,1,15,"Z","NFN","ODF","L",14,3,2013,7,3,27,"GAGE","PRT",789,17,20.06,22.8,2.74,1.14,67.64,75.6,27,"S",619,"IFLT",220000,0.0,11,51.6
"NFOA",639461,"L",4,2009,2,6,2014,11,19,"E","NFK","EWP","A",15,3,2013,12,56,31,"AMAZ","PRT",1498,84,33.39,36.79,3.4,1.1,52.19,20.3,20,"J",311,"GOND",286000,0.0,60,117.8
"EQVI",563361,"R",3,2008,4,6,2013,7,1,"U","URR","LQE","A",15,3,2013,23,52,22,"KYRO","PRT",1804,13,25.91,32.18,6.27,1.24,44.69,122.8,80,"S",332,"IFLT",660000,0.0,25,235.4
"EQVI",922497,"L",2,2011,2,14,2014,11,12,"E","GRO","FNP","B",25,3,2013,0,41,0,"ROGN","SALIENT",769,114,34.96,39.68,4.72,1.14,39.2,20.7,20,"J",311,"GOND",286000,0.0,60,125.1
"WJQA",63648,"L",4,2012,8,22,2013,11,13,"E","VOS","UZP","D",25,3,2013,2,30,0,"ROGN","SALIENT",215,112,34.19,43.07,8.88,1.26,40.03,20.6,20,"J",311,"GOND",286000,3953.16,65,123.8
"EQVI",985319,"L",1,2009,10,9,2013,5,14,"E","FHF","UZP","A",22,3,2013,20,18,49,"VELO","PRT",1260,126,38.05,86.28,48.23,2.27,33.93,27.6,24,"K",341,"HOPP",286000,4581.79,61,122.5
"ZHSA",7345,"R",4,2009,2,11,2013,7,12,"E","VXZ","VFP","A",30,3,2013,5,18,0,"JOPP","PRT",1508,88,39.96,44.71,4.75,1.12,41.43,25.3,20,"J",311,"GOND",286000,0.0,60,119.1
"IHF",3818,"L",4,2011,1,15,2014,1,15,"Z","VWR","ZVS","L",30,3,2013,9,54,45,"GAGE","PRT",805,35,19.69,21.33,1.64,1.08,72.58,39.0,27,"S",619,"IFLT",220000,0.0,11,50.5
"EQVI",984582,"R",2,2009,11,2,2013,7,2,"E","FHF","VFP","A",26,3,2013,17,10,0,"MESA","SALIENT",1240,102,35.71,38.59,2.88,1.08,46.88,25.7,24,"K",341,"HOPP",286000,0.0,11,114.8
"FLWA",834429,"R",1,2012,6,13,2014,4,26,"E","UEH","VAP","A",24,3,2013,4,11,26,"VELO","PRT",284,50,35.46,37.97,2.51,1.07,35.07,22.2,21,"J",311,"GOND",286000,0.0,11,118.5
"IOFA",568,"R",4,2011,12,19,2014,12,19,"E","RJG","FFR","A",23,3,2013,22,56,0,"BAGD","SALIENT",460,85,36.25,52.06,15.81,1.44,41.35,25.0,24,"K",341,"HOPP",286000,2022.92,11,124.3
"EQVI",986418,"R",3,2009,8,29,2014,5,28,"E","VWV","VFP","A",27,3,2013,9,24,17,"JOPP","PRT",1306,68,45.74,47.32,1.58,1.03,38.84,43.1,24,"K",341,"HOPP",286000,0.0,11,126.6
"IXUA",293482,"R",4,2011,9,4,2014,2,25,"E","VSV","EWP","A",24,3,2013,14,12,0,"ROGN","SALIENT",567,8,40.09,47.1,7.01,1.17,35.49,23.4,22,"J",311,"GOND",286000,0.0,75,122.0
"EQVI",708167,"R",2,2011,3,13,2014,3,12,"X","FVA","FUN","A",24,3,2013,14,43,0,"COCH","SALIENT",742,85,37.71,43.22,5.51,1.15,42.97,31.6,30,"C",114,"HOPP",286000,0.0,11,116.8
"EQVI",978306,"L",1,2008,11,24,2014,2,13,"U","HDS","VXS","T",24,3,2013,19,53,59,"CHRS","PRT",1581,68,32.79,39.31,6.52,1.2,35.9,36.0,29,"H",351,"HOPP",268000,6526.71,11,107.8
"EQ",868776,"L",3,2010,4,3,2013,4,3,"E","UEH","VFP","A",24,3,2013,20,40,0,"PEST","SALIENT",1086,63,38.56,41.67,3.11,1.08,34.55,22.3,21,"J",311,"GOND",286000,0.0,11,123.1
"NFOA",27352,"L",2,2011,11,24,2014,11,24,"E","VDL","EWP","A",26,3,2013,13,11,32,"AMAZ","PRT",488,70,31.24,33.22,1.98,1.06,54.63,24.8,21,"J",311,"GOND",286000,0.0,64,102.7
"EQ",866999,"L",2,2012,7,3,2013,12,12,"E","WKK","QDP","A",29,3,2013,0,31,28,"AMAZ","PRT",269,137,32.22,36.47,4.25,1.13,46.9,23.2,21,"J",311,"GOND",286000,0.0,11,114.3
"EQVI",710423,"L",3,2011,7,24,2014,7,24,"X","SOA","SLO","A",4,4,2013,22,46,22,"GAGE","PRT",620,108,32.53,42.01,9.48,1.29,52.89,43.9,31,"C",114,"HOPP",286000,0.0,11,109.9
"EQVI",751145,"R",1,2010,9,23,2013,9,23,"X","PQV","QVO","A",7,4,2013,23,29,14,"PRAI","PRT",927,38,33.92,41.86,7.94,1.23,52.2,37.8,30,"C",113,"HOPP",268000,1832.44,11,82.8
"WJQA",65494,"L",4,2010,8,17,2013,8,17,"E","VOS","FGP","D",5,4,2013,16,0,0,"ROGN","SALIENT",962,66,37.14,47.17,10.03,1.27,24.44,20.9,20,"J",311,"GOND",286000,7346.63,11,123.9
"IXUA",296021,"L",2,2012,5,3,2013,10,3,"E","VSW","QDP","A",7,4,2013,9,49,0,"ROGN","SALIENT",339,46,31.68,34.86,3.18,1.1,33.57,22.3,22,"J",311,"GOND",286000,0.0,11,121.3
"FDHJ",58599,"L",4,2010,8,7,2013,8,7,"E","GRO","UZP","B",3,4,2013,4,26,0,"ROGN","SALIENT",970,17,36.6,39.42,2.82,1.08,34.89,22.4,21,"J",311,"GOND",286000,1122.07,11,122.2
"NSOA",4530,"R",3,2011,5,8,2014,5,8,"E","OUW","EWP","A",6,4,2013,8,40,51,"AMAZ","PRT",699,76,36.6,41.4,4.8,1.13,37.74,25.4,25,"K",341,"HOPP",286000,0.0,11,112.1
"DPWA",43638,"R",1,2008,3,30,2014,3,24,"E","POW","EWP","A",3,4,2013,19,17,0,"ROGN","SALIENT",1830,42,35.65,43.02,7.37,1.21,34.07,25.7,24,"K",341,"HOPP",286000,33774.23,11,120.8
"EQVI",561725,"R",4,2011,4,18,2014,10,26,"B","RLJ","VHD","A",6,4,2013,17,54,56,"KYRO","PRT",719,16,31.98,33.95,1.97,1.06,50.09,103.1,88,"S",162,"IFLT",800400,0.0,11,197.5
"EQVI",904564,"L",3,2011,9,21,2014,3,2,"E","WKK","QDP","A",8,4,2013,1,2,6,"AMAZ","PRT",565,30,34.79,41.19,6.4,1.18,46.68,23.0,20,"J",311,"GOND",286000,0.0,65,115.9
"EQ",867366,"L",4,2012,9,28,2013,12,6,"E","WKK","QDP","A",8,4,2013,1,2,6,"AMAZ","PRT",192,70,29.67,31.2,1.53,1.05,44.09,24.7,21,"J",311,"GOND",286000,0.0,11,112.6
"XWOA",545860,"L",1,2011,3,20,2014,3,20,"U","PLA","VWQ","T",8,4,2013,5,40,0,"COCH","SALIENT",750,61,32.01,38.14,6.13,1.19,53.96,33.6,32,"T",108,"TANK",263000,0.0,65,101.3
"NFOA",28569,"L",1,2011,12,23,2014,12,23,"E","NFO","DWP","A",16,4,2013,2,15,47,"AMAZ","PRT",480,18,28.19,31.29,3.1,1.11,48.03,20.8,22,"J",311,"GOND",286000,0.0,11,95.7
"EQVI",705000,"L",4,2009,5,8,2013,5,10,"X","NDO","HGX","A",14,4,2013,21,17,0,"COCH","SALIENT",1437,8,37.43,41.96,4.53,1.12,45.96,31.3,30,"C",114,"HOPP",286000,0.0,25,112.7
"EQVI",711683,"R",3,2010,8,16,2013,8,16,"X","NDK","PFR","A",14,4,2013,23,49,39,"MALT","PRT",972,33,40.14,41.83,1.69,1.04,47.69,31.8,31,"C",114,"HOPP",286000,0.0,11,106.8
"EQVI",991339,"L",1,2010,2,7,2014,3,6,"E","VXP","EWP","A",16,4,2013,10,10,0,"BMRK","SALIENT",1164,53,30.78,38.85,8.07,1.26,31.33,24.6,21,"J",311,"GOND",286000,0.0,11,114.0
"VXJA",559,"R",1,2012,9,13,2014,4,19,"E","JID","VFP","A",19,4,2013,0,5,0,"BMRK","SALIENT",218,114,34.33,44.71,10.38,1.3,26.09,25.2,24,"K",341,"HOPP",286000,0.0,75,110.5
"EQVI",561677,"R",5,2010,1,17,2014,11,19,"S","OSF","WDF","D",21,4,2013,8,55,0,"PEST","SALIENT",1190,25,19.4,25.17,5.77,1.3,33.67,131.2,88,"S",162,"IFLT",800000,0.0,73,130.2
"EQVI",903022,"R",1,2010,5,3,2014,2,27,"E","UEH","VAP","E",17,4,2013,7,46,0,"MESA","SALIENT",1080,56,36.55,38.66,2.11,1.06,45.41,21.8,21,"J",311,"GOND",286000,3295.63,11,125.9
"EQ",868758,"L",4,2012,9,20,2014,5,21,"E","EHQ","ZWP","A",22,4,2013,16,44,0,"BMRK","SALIENT",214,30,28.74,34.39,5.65,1.2,26.64,23.4,21,"J",311,"GOND",263000,0.0,11,121.3
"EQVI",705750,"L",3,2011,8,4,2014,8,4,"X","IUV","KZP","A",30,4,2013,20,49,0,"COCH","SALIENT",635,70,34.1,37.14,3.04,1.09,55.61,31.1,30,"C",114,"HOPP",286000,0.0,11,99.9
"EQVI",711847,"L",2,2011,1,7,2014,1,7,"X","NDO","WFZ","A",1,5,2013,5,11,46,"MALT","PRT",845,61,41.31,70.93,29.62,1.72,54.63,35.3,31,"C",114,"HOPP",286000,1949.67,65,114.8
"GHHA",223737,"L",4,2010,6,6,2013,6,6,"E","VXG","GNP","A",28,4,2013,12,10,18,"JOPP","PRT",1057,47,26.6,32.79,6.19,1.23,38.32,24.0,20,"J",311,"GOND",286000,0.0,11,125.6
